Province,City,Tag,Code
کرمان,انار,ANR,970100
کرمان,بافت,BAF,970200
کرمان,بردسیر,BRD,970300
کرمان,بم,BAM,970400
کرمان,جیرفت,JRF,970500
کرمان,رابر,RBR,970600
کرمان,راور,RVR,970700
کرمان,راین,RYN,970800
کرمان,رفسنجان,RFS,970900
کرمان,زرند,ZRN,971000
کرمان,سیرجان,SJN,971100
کرمان,شهداد,SHD,971200
کرمان,شهربابک,SHB,971300
کرمان,لاله زار,LZR,971400
کرمان,ماهان,MHN,971500
کرمان,نگار,NGR,971600
کرمان,کرمان,KER,971700
کرمان,کهنوج,KNJ,971800
کرمان,کوهبنان,KHB,971900
کرمان,گلباف,GLB,972000
